ARTIST_ID,ARTIST_NAME,GENRES,FOLLOWERS,ARTIST_POPULARITY,HREF,IMAGE_URL
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,corrido,4638389,84,https://api.spotify.com/v1/artists/6Sbl0NT50roqWvy746MfVf,https://i.scdn.co/image/ab6761610000e5eb7f09c9c912a14580f87a2ea8
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,corridos tumbados,4638389,84,https://api.spotify.com/v1/artists/6Sbl0NT50roqWvy746MfVf,https://i.scdn.co/image/ab6761610000e5eb7f09c9c912a14580f87a2ea8
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,corridos bélicos,4638389,84,https://api.spotify.com/v1/artists/6Sbl0NT50roqWvy746MfVf,https://i.scdn.co/image/ab6761610000e5eb7f09c9c912a14580f87a2ea8
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,música mexicana,4638389,84,https://api.spotify.com/v1/artists/6Sbl0NT50roqWvy746MfVf,https://i.scdn.co/image/ab6761610000e5eb7f09c9c912a14580f87a2ea8
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,sad sierreño,4638389,84,https://api.spotify.com/v1/artists/6Sbl0NT50roqWvy746MfVf,https://i.scdn.co/image/ab6761610000e5eb7f09c9c912a14580f87a2ea8
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,electro corridos,4638389,84,https://api.spotify.com/v1/artists/6Sbl0NT50roqWvy746MfVf,https://i.scdn.co/image/ab6761610000e5eb7f09c9c912a14580f87a2ea8
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,banda,4638389,84,https://api.spotify.com/v1/artists/6Sbl0NT50roqWvy746MfVf,https://i.scdn.co/image/ab6761610000e5eb7f09c9c912a14580f87a2ea8
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,corrido,5415016,90,https://api.spotify.com/v1/artists/5eumcnUkdmGvkvcsx1WFNG,https://i.scdn.co/image/ab6761610000e5eb42aaf132132313182dcf7271
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,corridos tumbados,5415016,90,https://api.spotify.com/v1/artists/5eumcnUkdmGvkvcsx1WFNG,https://i.scdn.co/image/ab6761610000e5eb42aaf132132313182dcf7271
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,corridos bélicos,5415016,90,https://api.spotify.com/v1/artists/5eumcnUkdmGvkvcsx1WFNG,https://i.scdn.co/image/ab6761610000e5eb42aaf132132313182dcf7271
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,electro corridos,5415016,90,https://api.spotify.com/v1/artists/5eumcnUkdmGvkvcsx1WFNG,https://i.scdn.co/image/ab6761610000e5eb42aaf132132313182dcf7271
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,música mexicana,5415016,90,https://api.spotify.com/v1/artists/5eumcnUkdmGvkvcsx1WFNG,https://i.scdn.co/image/ab6761610000e5eb42aaf132132313182dcf7271
