TRACK_NAME,TRACK_ID,ARTIST_NAME,ARTIST_ID,ALBUM_NAME,RELEASE_DATE,TOTAL_TRACKS,DURATION_SEC,EXPLICIT,POPULARITY,ISRC,PREVIEW_URL,TRACK_SPOTIFY_URL,ALBUM_SPOTIFY_URL,STREAM_RANK,DATE_RANK
The Night We Met,3hRV0jL3vUpRrcy398teAU,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,Strange Trails,2015-04-06,14,208.211,False,88,US53Q1200103,,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU,https://open.spotify.com/album/4sD1qg4jwTZR4mvR4Iflk5,31,2025-02-28
VeLDÁ,7d6yK8v8J484SWH5prIQiE,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,2025-01-05,17,235.336,True,92,QMFMF2447060,,https://open.spotify.com/track/7d6yK8v8J484SWH5prIQiE,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb,32,2025-02-28
Taste,5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Short n Sweet,2024-08-23,12,157.279,False,90,USUM72404100,,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,33,2025-02-28
Te Quería Ver,78HEzDEs1QUnHB2DbxgC1s,Alemán,4QFG9KrGWEbr6hNA58CAqE,Te Quería Ver,2025-01-31,1,176.129,False,88,MXA4M2500001,,https://open.spotify.com/track/78HEzDEs1QUnHB2DbxgC1s,https://open.spotify.com/album/3PgvJGHxtoablFQjDI2pQF,34,2025-02-28
blue,3be9ACTxtcL6Zm4vJRUiPG,yung kai,6zO1dZ40fTZ5hY9NnnRJSk,blue,2024-08-02,1,214.357,False,90,TLVEM2456474,,https://open.spotify.com/track/3be9ACTxtcL6Zm4vJRUiPG,https://open.spotify.com/album/5aelly3dAJd7yZlgUHpLBw,35,2025-02-28
Born Again feat Doja Cat  RAYE,4CPuDVC8jhhK6lA2DIt8Cf,LISA,5L1lO4eRHmJ7a0Q6csE5cT,Born Again feat Doja Cat  RAYE,2025-02-06,1,231.174,True,88,USRC12403763,,https://open.spotify.com/track/4CPuDVC8jhhK6lA2DIt8Cf,https://open.spotify.com/album/5ADTbFCyP8cFAu59i4idiC,36,2025-02-28
Por Esos Ojos,5jHozZMWbrExAFni95mvvH,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,Por Esos Ojos,2025-02-11,1,188.064,True,86,QZ9QQ2500079,,https://open.spotify.com/track/5jHozZMWbrExAFni95mvvH,https://open.spotify.com/album/3ZaYiXwSEqq5iZ6xt8RAwp,37,2025-02-28
Si Antes Te Hubiera Conocido,6WatFBLVB0x077xWeoVc2k,KAROL G,790FomKkXshlbRYZFtlgla,Si Antes Te Hubiera Conocido,2024-06-21,1,195.824,False,91,USUG12400968,,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,https://open.spotify.com/album/5ylbxH7EqpsmHZCRuiYewS,38,2025-02-28
EoO,6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,2025-01-05,17,204.768,True,91,QMFMF2447069,,https://open.spotify.com/track/6J5kc12BW5HuP3d7C3vvx8,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb,39,2025-02-28
capaz merengueton,4DnrAI8WyUY6gkOwl8GlPN,Alleh,3DeOmVSmpv7WknXoo1OS8p,LA CIUDAD,2024-12-24,12,173.858,False,85,USLD91766968,,https://open.spotify.com/track/4DnrAI8WyUY6gkOwl8GlPN,https://open.spotify.com/album/0sWJ3v0FROzcNzyjNYUs6t,40,2025-02-28
See You Again feat Kali Uchis,7KA4W4McWYRpgf0fWsJZWB,Tyler The Creator,4V8LLVI7PbaPR0K2TGSxFF,Flower Boy,2017-07-21,14,180.386,True,90,USQX91701275,,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,https://open.spotify.com/album/2nkto6YNI4rUYTLqEwWJ3o,41,2025-02-28
Just the Way You Are,47Slg6LuqLaX0VodpSCvPt,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,DooWops  Hooligans,2010-05-11,12,220.734,False,82,USAT21001269,,https://open.spotify.com/track/47Slg6LuqLaX0VodpSCvPt,https://open.spotify.com/album/6J84szYCnMfzEcvIcfWMFL,42,2025-02-28
Iris,6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Dizzy up the Girl,1998-01-01,13,289.533,False,88,USWB19800160,,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,https://open.spotify.com/album/4UMjBXcRqIgMZ1XumU2x5T,43,2025-02-28
squabble up,0nj9Bq5sHDiTxSHunhgkFb,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,GNX,2024-11-22,12,157.992,True,90,USUG12408494,,https://open.spotify.com/track/0nj9Bq5sHDiTxSHunhgkFb,https://open.spotify.com/album/0hvT3yIEysuuvkK73vgdcW,44,2025-02-28
7 Dias,5Z75FvRFiultmPFWHx5jQ7,Gabito Ballesteros,6Sbl0NT50roqWvy746MfVf,7 Dias,2025-01-30,1,180.688,True,89,USA2P2503458,,https://open.spotify.com/track/5Z75FvRFiultmPFWHx5jQ7,https://open.spotify.com/album/5BoeqKVMi7D4S6U38rWjS4,45,2025-02-28
Yellow,3AJwUDP919kvQ9QcozQPxg,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Parachutes,2000-07-10,10,266.773,False,89,GBAYE0000267,,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,https://open.spotify.com/album/6ZG5lRT77aJ3btmArcykra,46,2025-02-28
Ordinary,6qqrTXSdwiJaq8SO0X2lSe,Alex Warren,0fTSzq9jAh4c36UVb4V7CB,Ordinary,2025-02-07,1,186.964,False,88,USAT22500463,,https://open.spotify.com/track/6qqrTXSdwiJaq8SO0X2lSe,https://open.spotify.com/album/6xomx5ekO7qHDvDh57rZ5S,47,2025-02-28
Please Please Please,5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Please Please Please,2024-06-06,2,186.365,True,84,USUM72404101,,https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP,https://open.spotify.com/album/5bBaoign62r1i7OV8w7mi9,48,2025-02-28
Busy Woman,0b0Dz0Gi86SVdBxYeiQcCP,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Short n Sweet Deluxe,2025-02-14,17,186.612,True,88,USUM72413907,,https://open.spotify.com/track/0b0Dz0Gi86SVdBxYeiQcCP,https://open.spotify.com/album/3WzBIQmn2hrulLeTY9smkk,49,2025-02-28
I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,AM,2013-09-09,12,183.956,False,90,GBCEL1300373,,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu,50,2025-02-28
